Name,Acronym,City,Type,Deadline,Test,Link,Color,LastChecked
FAST,FAST,Islamabad,Private,19/05/2025,NU,https://admissions.nu.edu.pk/OLAR/Login,bg-teal-700,2026-02-06
COMSATS,COMSATS,Islamabad,Public,17/12/2025,NTS,https://admissions.comsats.edu.pk,bg-blue-900,2026-02-07
AIR,AIR,Islamabad,Public,23/12/2025,AIR Test/NTS,https://portals.au.edu.pk/admissions/,bg-teal-600,
PMAS Arid Agriculture University,ARID,Rawalpindi,Public,31/05/2026,Arid Test,https://www.uaar.edu.pk/index.php,bg-lime-600,
Bahria University,BAHRIA,Islamabad,Private,21/01/2026,CBT,https://cms.bahria.edu.pk/Logins/Candidate/Login.aspx,bg-blue-800,2026-03-08
SZABIST,SZABIST,Islamabad,Private,23/01/2026,Generic,https://admissions.szabist-isb.edu.pk,bg-blue-900,2026-02-07
LUMS,LUMS,Lahore,Private,27/01/2026,LCAT,https://admissions.lums.edu.pk/application/,bg-teal-700,
UET Lahore,UET,Lahore,Public,22/03/2026,ECAT,https://admission.uet.edu.pk/Modules/EntryTest/Default.aspx,bg-blue-500,
National University of Sciences and Technology,NUST,Islamabad,Public,05/04/2026,NET Series,https://ugadmissions.nust.edu.pk,bg-teal-600,2026-04-18
NUML,NUML,Islamabad,Public,30/04/2026,NUML,https://portals.numl.edu.pk/AdmissionPortal/Login,bg-teal-700,2026-04-18
PIEAS,PIEAS,Islamabad,Public,26/06/2026,ECAT,https://admissions.pieas.edu.pk/Admissions/BS.html,bg-blue-500,
